Player,Nation,Age,Pos,G,GS,MP,FG,3P,2P,AST,STL,BLK,TOV,PTS,Team
Mitchell Robinson,us USA,26,C,17,3,290,37,0,37,13,16,18,10,87,New York Knicks
Tyler Kolek,us USA,23,PG,41,0,296,27,14,13,70,12,4,18,81,New York Knicks
Matt Ryan,us USA,27,SF,19,0,68,10,6,4,3,2,0,3,28,New York Knicks
Isaiah Hartenstein,de GER,26,C,57,53,1590,279,0,279,219,47,62,96,637,Oklahoma City Thunder
Luguentz Dort,us USA,25,SF,71,71,2073,258,170,88,115,79,39,51,719,Oklahoma City Thunder
Chet Holmgren,us USA,22,C,32,32,877,167,44,123,63,23,71,56,479,Oklahoma City Thunder
Jalen Williams,us USA,23,SG,69,69,2237,565,124,441,354,111,46,150,1490,Oklahoma City Thunder
Jaylin Williams,us USA,22,PF,47,9,784,97,61,36,120,22,29,35,278,Oklahoma City Thunder
Ajay Mitchell,us USA,22,SG,36,1,597,91,23,68,64,25,4,29,234,Oklahoma City Thunder
Alex Caruso,us USA,30,SG,54,3,1041,140,60,80,137,87,30,37,382,Oklahoma City Thunder
Kenrich Williams,us USA,30,PF,69,7,1132,171,66,105,97,43,10,39,436,Oklahoma City Thunder
Isaiah Joe,us USA,25,SG,74,16,1604,259,192,67,119,48,9,38,756,Oklahoma City Thunder
Ousmane Dieng,fr FRA,21,C,37,1,405,54,23,31,31,17,7,18,142,Oklahoma City Thunder
Cason Wallace,us USA,21,SG,68,43,1876,232,74,158,173,120,35,59,568,Oklahoma City Thunder
Shai Gilgeous-Alexander,ca CAN,26,PG,76,76,2598,860,163,697,486,131,77,183,2484,Oklahoma City Thunder
Dillon Jones,us USA,23,SF,54,3,551,51,16,35,58,16,4,28,135,Oklahoma City Thunder
Branden Carlson,us USA,25,C,32,0,246,43,22,21,14,5,21,7,122,Oklahoma City Thunder
Alex Ducas,au AUS,24,SG,21,0,125,12,10,2,5,5,0,4,36,Oklahoma City Thunder
Adam Flagler,us USA,25,SG,37,0,203,25,14,11,12,8,3,4,65,Oklahoma City Thunder
Aaron Wiggins,us USA,26,SG,76,26,1744,355,130,225,134,60,18,69,914,Oklahoma City Thunder
Caleb Houstan,us USA,22,SF,58,6,788,80,64,16,35,22,6,13,239,Orlando Magic
Gary Harris,us USA,30,SG,48,3,711,51,36,15,30,26,12,17,145,Orlando Magic
Cole Anthony,us USA,24,PG,67,22,1234,230,77,153,191,45,32,103,630,Orlando Magic
Moritz Wagner,de GER,27,C,30,1,564,140,27,113,42,24,12,49,386,Orlando Magic
Jett Howard,us USA,21,SF,60,0,701,98,55,43,44,13,11,36,267,Orlando Magic
Franz Wagner,de GER,23,SF,60,60,2023,537,104,433,284,75,21,138,1449,Orlando Magic
Paolo Banchero,us USA,22,PF,46,46,1582,412,87,325,219,36,28,136,1191,Orlando Magic
Jonathan Isaac,us USA,27,PF,71,1,1090,134,39,95,40,61,80,33,380,Orlando Magic
Goga Bitadze,ge GEO,25,C,70,42,1430,207,3,204,137,49,98,72,502,Orlando Magic
Tristan Da Silva,de GER,23,SF,74,38,1629,199,80,119,113,33,18,56,533,Orlando Magic
Jalen Suggs,us USA,23,PG,35,35,1002,197,76,121,129,51,33,102,567,Orlando Magic
Anthony Black,us USA,21,PG,78,10,1887,262,62,200,240,86,48,139,736,Orlando Magic
Kentavious Caldwell-Pope,us USA,31,SG,77,77,2279,239,113,126,136,99,34,62,673,Orlando Magic
Wendell Carter Jr.,us USA,25,C,68,51,1758,226,37,189,134,52,41,77,618,Orlando Magic
Cory Joseph,ca CAN,33,PG,50,16,612,62,39,23,72,26,4,18,177,Orlando Magic
Trevelin Queen,us USA,27,SG,31,2,430,56,22,34,38,31,10,22,152,Orlando Magic
Colin Castleton,us USA,24,C,5,0,98,12,0,12,10,1,1,1,30,Philadelphia 76ers
Joel Embiid,cm CMR,30,C,19,19,574,140,23,117,85,14,18,62,452,Philadelphia 76ers
Justin Edwards,us USA,21,SF,44,26,1155,172,69,103,69,45,16,49,445,Philadelphia 76ers
Phillip Wheeler,pr PUR,22,PF,5,0,44,3,0,3,2,1,2,1,8,Philadelphia 76ers
Jeff Dowtin,ca CAN,27,PG,41,3,621,112,28,84,78,24,12,15,285,Philadelphia 76ers
Paul George,us USA,34,PF,41,41,1334,245,96,149,178,75,20,106,665,Philadelphia 76ers
Isaiah Mobley,us USA,25,PF,1,0,17,2,1,1,5,1,1,0,6,Philadelphia 76ers
Eric Gordon,us USA,36,SG,39,13,768,87,56,31,65,26,12,28,266,Philadelphia 76ers
Andre Drummond,us USA,31,C,40,23,751,117,3,114,34,39,18,55,293,Philadelphia 76ers
Reggie Jackson,us USA,34,PG,31,1,384,52,25,27,45,16,3,17,136,Philadelphia 76ers
Tyrese Maxey,us USA,24,PG,52,52,1960,477,161,316,317,91,21,124,1369,Philadelphia 76ers
Jared McCain,us USA,20,SG,23,8,592,126,51,75,60,15,0,37,352,Philadelphia 76ers
Kelly Oubre Jr.,us USA,29,SF,60,57,2078,348,71,277,108,92,30,80,906,Philadelphia 76ers
Kyle Lowry,us USA,38,PG,35,12,659,41,29,12,96,33,11,21,138,Philadelphia 76ers
Jalen Hood-Schifino,us USA,21,SG,13,0,301,36,14,22,36,5,6,17,102,Philadelphia 76ers
Jared Butler,us USA,24,SG,28,17,682,118,45,73,138,30,8,51,321,Philadelphia 76ers
Marcus Bagley,us USA,23,SF,10,4,253,27,5,22,10,9,12,7,67,Philadelphia 76ers
Ricky Council IV,us USA,23,SF,73,12,1250,177,55,122,97,32,13,52,532,Philadelphia 76ers
Guerschon Yabusele,fr FRA,29,C,70,43,1895,282,104,178,148,58,24,87,768,Philadelphia 76ers
Adem Bona,tr TUR,21,C,58,11,905,135,0,135,27,26,69,61,337,Philadelphia 76ers
Lonnie Walker IV,us USA,26,SG,20,7,477,89,45,44,50,10,5,25,247,Philadelphia 76ers
Quentin Grimes,us USA,24,SG,28,25,943,215,82,133,127,42,12,80,612,Philadelphia 76ers
Oshae Brissett,ca CAN,26,SF,6,2,142,19,6,13,4,4,3,8,52,Philadelphia 76ers
Alex Reese,us USA,25,PF,14,0,214,25,15,10,4,10,10,6,74,Philadelphia 76ers
Collin Gillespie,us USA,25,PG,33,9,461,68,39,29,78,21,5,17,194,Phoenix Suns
Damion Lee,us USA,32,SG,25,0,144,27,9,18,11,6,0,10,83,Phoenix Suns
Cody Martin,us USA,29,SF,14,0,206,20,3,17,16,13,6,9,52,Phoenix Suns
Mason Plumlee,us USA,34,C,74,21,1300,125,0,125,134,33,47,59,333,Phoenix Suns
Oso Ighodaro,us USA,22,PF,61,6,1045,113,0,113,71,28,29,39,255,Phoenix Suns
Kevin Durant,us USA,36,PF,62,62,2265,592,160,432,263,50,77,190,1647,Phoenix Suns
Bradley Beal,us USA,31,SG,53,38,1702,345,102,243,195,58,28,99,902,Phoenix Suns
Monte Morris,us USA,29,PG,45,0,571,83,31,52,73,20,3,21,233,Phoenix Suns
Royce O'Neale,us USA,31,SF,75,22,1837,241,179,62,163,67,34,65,680,Phoenix Suns
TyTy Washington Jr.,us USA,23,PG,16,0,118,14,4,10,16,3,0,3,35,Phoenix Suns
Devin Booker,us USA,28,SG,75,75,2795,654,183,471,529,67,16,220,1923,Phoenix Suns
Jalen Bridges,us USA,23,SF,8,0,30,2,2,0,0,0,0,4,9,Phoenix Suns
Vasilije MiciA,rs SRB,31,PG,5,0,21,0,0,0,1,0,0,3,0,Phoenix Suns
Tyus Jones,us USA,28,PG,81,58,2174,306,166,140,429,69,8,91,829,Phoenix Suns
Nick Richards,us USA,27,C,36,34,816,141,0,141,21,7,29,48,342,Phoenix Suns
Ryan Dunn,us USA,22,SF,74,44,1410,205,82,123,57,44,40,40,511,Phoenix Suns
Bol Bol,ss SSD,25,PF,36,10,448,96,32,64,22,9,25,20,244,Phoenix Suns
Grayson Allen,us USA,29,SG,64,7,1544,219,149,70,137,54,19,75,680,Phoenix Suns
Scoot Henderson,us USA,20,PG,66,10,1759,287,105,182,335,68,13,177,837,Portland Trail Blazers
Donovan Clingan,us USA,20,C,67,37,1324,180,14,166,77,34,110,72,436,Portland Trail Blazers
Sidy Cissoko,fr FRA,20,SF,5,0,60,4,0,4,9,1,1,9,10,Portland Trail Blazers
Toumani Camara,be BEL,24,PF,78,78,2548,328,135,193,175,116,50,109,882,Portland Trail Blazers
Jabari Walker,us USA,22,SF,60,1,749,118,28,90,37,33,6,34,313,Portland Trail Blazers
Justin Minaya,us USA,25,SF,19,0,101,8,2,6,7,6,1,5,18,Portland Trail Blazers
Taze Moore,us USA,26,SG,2,0,20,2,1,1,1,2,0,2,6,Portland Trail Blazers
Robert Williams,us USA,27,C,20,3,351,50,1,49,21,13,33,17,116,Portland Trail Blazers
Kris Murray,us USA,24,SF,69,6,1040,117,27,90,68,35,17,43,287,Portland Trail Blazers
Duop Reath,ss SSD,28,C,46,0,469,70,34,36,26,12,14,16,194,Portland Trail Blazers
Anfernee Simons,us USA,25,SG,70,70,2292,479,215,264,337,60,5,143,1348,Portland Trail Blazers
Deni Avdija,il ISR,24,SF,72,54,2161,402,125,277,281,71,35,196,1219,Portland Trail Blazers
Matisse Thybulle,au AUS,27,SG,15,5,312,42,21,21,28,33,9,13,112,Portland Trail Blazers
Shaedon Sharpe,us USA,21,SG,72,52,2252,499,147,352,198,62,16,150,1335,Portland Trail Blazers
Dalano Banton,ca CAN,25,PG,67,7,1120,198,72,126,160,43,34,86,559,Portland Trail Blazers
Deandre Ayton,bs BHS,26,C,40,40,1206,265,6,259,64,31,39,69,576,Portland Trail Blazers
Bryce McGowens,us USA,22,SG,13,0,32,4,0,4,2,1,0,4,13,Portland Trail Blazers
Jerami Grant,us USA,30,PF,47,47,1524,214,108,106,101,41,46,65,677,Portland Trail Blazers
Rayan Rupert,fr FRA,20,SG,52,0,460,58,16,42,25,16,4,30,155,Portland Trail Blazers
Markelle Fultz,us USA,26,PG,21,0,184,28,4,24,27,10,2,15,61,Sacramento Kings
Keegan Murray,us USA,24,PF,76,76,2610,364,154,210,109,61,69,60,942,Sacramento Kings
Trey Lyles,us USA,29,PF,69,5,1349,157,81,76,82,41,23,39,451,Sacramento Kings
Isaac Jones,us USA,24,PF,40,0,304,54,3,51,12,5,10,16,134,Sacramento Kings
Devin Carter,us USA,22,PG,36,0,396,47,18,29,41,21,4,18,138,Sacramento Kings
Jake LaRavia,us USA,23,PF,19,0,367,42,20,22,25,18,3,17,115,Sacramento Kings
Doug McDermott,us USA,33,SF,42,3,342,50,44,6,7,4,2,6,147,Sacramento Kings
Jae Crowder,us USA,34,PF,9,2,103,7,4,3,6,3,0,4,23,Sacramento Kings
Zach LaVine,us USA,29,SG,32,32,1170,262,103,159,121,19,2,87,717,Sacramento Kings
Domantas Sabonis,lt LTU,28,C,70,70,2429,527,65,462,423,48,26,202,1337,Sacramento Kings
Skal LabissiA re,ht HTI,28,PF,4,0,12,2,1,1,1,0,0,0,5,Sacramento Kings
DeMar DeRozan,us USA,35,SF,77,77,2768,624,84,540,342,62,32,105,1710,Sacramento Kings
Isaiah Crawford,us USA,23,SF,15,0,46,5,1,4,1,1,2,1,13,Sacramento Kings
Keon Ellis,us USA,25,SG,80,28,1948,227,139,88,120,121,63,71,666,Sacramento Kings
Jonas ValanAiAnas,lt LTU,32,C,32,9,541,114,1,113,56,15,18,32,279,Sacramento Kings
Mason Jones,us USA,26,SG,10,0,45,9,1,8,11,0,1,1,23,Sacramento Kings
Malik Monk,us USA,26,SG,65,45,2054,412,139,273,362,61,38,159,1117,Sacramento Kings
Keldon Johnson,us USA,25,SF,77,0,1838,371,87,284,125,49,22,77,979,San Antonio Spurs
Bismack Biyombo,cd COD,32,C,28,26,528,67,0,67,31,16,23,27,144,San Antonio Spurs
Malaki Branham,us USA,21,SG,47,0,427,87,34,53,38,11,2,34,235,San Antonio Spurs
Charles Bassey,ng NGA,24,C,36,1,376,68,0,68,17,14,30,23,157,San Antonio Spurs
Harrison Ingram,us USA,22,SF,5,0,35,2,0,2,3,3,0,1,4,San Antonio Spurs
De'Aaron Fox,us USA,27,PG,17,17,578,125,26,99,116,25,5,41,335,San Antonio Spurs
Chris Paul,us USA,39,PG,82,82,2292,249,140,109,605,103,22,129,723,San Antonio Spurs
Sandro Mamukelashvili,ge GEO,25,PF,61,0,681,141,60,81,48,22,17,26,385,San Antonio Spurs
David Duke Jr.,us USA,25,SG,6,0,34,6,3,3,4,1,0,2,16,San Antonio Spurs
Victor Wembanyama,fr FRA,21,C,46,46,1527,408,142,266,168,52,176,149,1116,San Antonio Spurs
Jordan McLaughlin,us USA,28,PG,18,0,124,15,9,6,27,5,1,5,45,San Antonio Spurs
Devin Vassell,us USA,24,SG,64,53,1983,394,158,236,183,84,33,88,1041,San Antonio Spurs
Julian Champagnie,us USA,23,SF,82,29,1932,276,178,98,111,61,35,74,815,San Antonio Spurs
Harrison Barnes,us USA,32,PF,82,82,2230,347,156,191,136,39,14,50,1011,San Antonio Spurs
Jeremy Sochan,us USA,21,PF,54,23,1364,251,28,223,128,45,27,84,617,San Antonio Spurs
Blake Wesley,us USA,21,SG,58,0,683,81,17,64,114,37,6,54,217,San Antonio Spurs
Stephon Castle,us USA,20,PG,81,47,2162,423,95,328,332,74,22,177,1190,San Antonio Spurs
Cole Swider,us USA,25,SF,8,0,156,22,15,7,2,4,2,4,59,Toronto Raptors
Bruno Fernando,ao AGO,26,C,17,2,147,26,0,26,18,4,9,14,58,Toronto Raptors
Gradey Dick,us USA,21,SG,54,54,1587,265,114,151,98,48,10,83,777,Toronto Raptors
Ochai Agbaji,us USA,24,SG,64,45,1739,266,101,165,98,58,30,54,667,Toronto Raptors
Chris Boucher,ca CAN,32,PF,50,0,862,182,70,112,33,24,25,29,502,Toronto Raptors
Jakob Poeltl,at AUT,29,C,57,56,1686,363,1,362,158,66,71,111,824,Toronto Raptors
Immanuel Quickley,us USA,25,PG,33,33,918,184,85,99,191,23,4,58,564,Toronto Raptors
Jamal Shead,us USA,22,PG,75,11,1467,204,72,132,316,58,10,117,533,Toronto Raptors
Garrett Temple,us USA,38,SG,28,0,227,18,6,12,31,17,2,10,53,Toronto Raptors
Scottie Barnes,us USA,23,PF,65,65,2134,474,76,398,378,93,63,185,1252,Toronto Raptors
Orlando Robinson,us USA,24,C,35,8,713,109,16,93,68,14,15,45,284,Toronto Raptors
Jared Rhoden,us USA,25,SG,10,2,215,40,12,28,14,9,2,8,114,Toronto Raptors
Jonathan Mogbo,us USA,23,PF,63,18,1286,156,17,139,146,55,34,70,389,Toronto Raptors
A.J. Lawson,us USA,24,SG,26,2,486,80,33,47,31,13,6,15,236,Toronto Raptors
RJ Barrett,ca CAN,24,SF,58,58,1869,460,107,353,314,46,17,165,1223,Toronto Raptors
Jamison Battle,us USA,23,SF,59,10,1042,149,105,44,53,17,10,27,419,Toronto Raptors
Ja'Kobe Walter,us USA,20,SG,52,18,1103,159,65,94,81,43,10,50,449,Toronto Raptors
D.J. Carton,us USA,24,SG,4,0,33,1,0,1,3,2,0,4,3,Toronto Raptors
Ulrich Chomche,cm CMR,19,PF,7,0,32,2,0,2,2,0,1,2,5,Toronto Raptors
Lauri Markkanen,fi FIN,27,PF,47,47,1476,296,138,158,70,33,17,66,892,Utah Jazz
Collin Sexton,us USA,26,SG,63,61,1758,416,110,306,264,47,6,160,1159,Utah Jazz
Walker Kessler,us USA,23,C,58,58,1740,278,6,272,97,36,138,86,641,Utah Jazz
Keyonte George,us USA,21,PG,67,35,2109,359,174,185,377,46,9,183,1125,Utah Jazz
Taylor Hendricks,us USA,21,PF,3,3,75,4,3,1,2,5,4,2,14,Utah Jazz
Brice Sensabaugh,us USA,21,SF,71,15,1432,275,157,118,110,46,8,107,772,Utah Jazz
Oscar Tshiebwe,cd COD,25,C,14,1,255,42,0,42,9,13,1,10,107,Utah Jazz
Elijah Harkless,us USA,24,SG,10,0,138,11,7,4,8,10,1,3,32,Utah Jazz
Svi Mykhailiuk,ua UKR,27,SF,38,13,760,118,70,48,76,19,7,52,334,Utah Jazz
Cody Williams,us USA,20,SG,50,21,1060,83,35,48,59,23,16,44,230,Utah Jazz
John Collins,us USA,27,PF,40,31,1220,280,59,221,80,39,40,103,758,Utah Jazz
Isaiah Collier,us USA,20,PG,71,46,1839,234,42,192,446,66,16,208,615,Utah Jazz
KJ Martin,us USA,24,SF,19,9,432,50,7,43,29,6,6,12,120,Utah Jazz
Jordan Clarkson,us USA,32,SG,37,9,962,201,84,117,138,31,9,86,600,Utah Jazz
Kyle Filipowski,us USA,21,C,72,27,1522,260,77,183,140,48,22,102,690,Utah Jazz
Jaden Springer,us USA,22,PG,17,2,224,23,6,17,23,12,3,12,64,Utah Jazz
Micah Potter,us USA,26,C,38,10,705,57,31,26,31,14,14,31,162,Utah Jazz
Johnny Juzang,us USA,23,SG,64,18,1270,204,118,86,68,39,8,36,571,Utah Jazz
Marcus Smart,us USA,30,PG,15,1,280,48,20,28,38,16,3,19,140,Washington Wizards
Bilal Coulibaly,fr FRA,20,SF,59,59,1948,263,63,200,199,78,41,125,727,Washington Wizards
Johnny Davis,us USA,22,SG,34,0,242,32,7,25,11,15,6,7,80,Washington Wizards
Jordan Poole,us USA,25,SG,68,68,2001,457,235,222,303,86,27,204,1391,Washington Wizards
AJ Johnson,us USA,20,SG,22,11,595,74,21,53,69,11,3,31,200,Washington Wizards
Corey Kispert,us USA,25,SF,61,0,1602,255,120,135,103,26,14,64,705,Washington Wizards
Anthony Gill,us USA,32,PF,51,0,397,43,10,33,16,9,2,10,129,Washington Wizards
Bub Carrington,us USA,19,PG,82,57,2458,300,138,162,364,54,21,141,807,Washington Wizards
Kyle Kuzma,us USA,29,PF,32,30,887,191,45,146,79,20,7,73,486,Washington Wizards
Jaylen Martin,us USA,21,SF,13,0,234,30,6,24,17,9,0,12,75,Washington Wizards
Kyshawn George,us USA,21,SG,68,38,1802,203,114,89,169,68,50,97,590,Washington Wizards
Khris Middleton,us USA,33,SF,14,14,309,52,13,39,48,18,3,19,150,Washington Wizards
Colby Jones,us USA,22,SG,15,0,385,48,12,36,37,20,6,16,131,Washington Wizards
Alex Sarr,fr FRA,19,C,67,67,1814,326,105,221,161,44,101,114,869,Washington Wizards
Richaun Holmes,us USA,31,PF,31,7,534,90,0,90,42,9,23,21,230,Washington Wizards
Malcolm Brogdon,us USA,32,PG,24,13,564,104,16,88,98,13,5,38,305,Washington Wizards
Tristan Vukcevic,rs SRB,21,C,35,1,513,120,38,82,39,11,23,42,330,Washington Wizards
JT Thor,ss SSD,22,PF,11,0,207,16,3,13,5,6,6,3,43,Washington Wizards
Justin Champagnie,us USA,23,SF,62,31,1340,210,74,136,60,65,39,54,544,Washington Wizards
